px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.21931	-6.13841	-2.51521	-2.66608	-0.243997	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	5.63898
8.33972	-6.04878	-2.55993	-2.66101	-0.226738	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0.610006
8.49506	-5.98926	-2.66168	-2.69936	-0.268972	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	2.35209
8.63732	-5.90987	-2.69406	-2.70567	-0.26017	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0.164187
8.72363	-5.82339	-2.52772	-2.66738	-0.180023	8.77185	-5.74314	8.75	-5.75	1.81776	1.81775	6.47115
8.85529	-5.73037	-2.5684	-2.66083	-0.163629	8.85444	-5.64273	8.85	-5.65	1.81774	1.81773	0.458013
8.94101	-5.6531	-2.46716	-2.63298	-0.108739	9.02394	-5.6024	8.95	-5.55	1.99657	1.99656	3.19946
9.05669	-5.55834	-2.51277	-2.61901	-0.0896152	9.05088	-5.45385	9.05	-5.45	1.99654	1.99655	0.646236
9.20302	-5.49258	-2.62402	-2.65141	-0.13644	9.04088	-5.29691	9.2	-5.4	2.72728	0.909094	3.84931
9.33784	-5.39913	-2.66099	-2.6448	-0.12249	9.34223	-5.32623	9.35	-5.35	2.72727	0.90909	0.322406
9.41786	-5.30525	-2.49961	-2.59853	-0.043795	9.39579	-5.21659	9.45	-5.25	1.81816	1.81815	6.04023
9.5441	-5.20656	-2.54061	-2.58606	-0.0290955	9.55303	-5.13194	9.55	-5.15	1.81813	1.81813	0.34634
9.63649	-5.12022	-2.44307	-2.55507	0.0211765	9.75019	-5.14652	9.65	-5.05	1.82036	1.82036	2.87737
9.75588	-5.0149	-2.48707	-2.53714	0.0375222	9.7586	-4.93134	9.75	-4.95	1.82036	1.82037	0.426383
9.84348	-4.92004	-2.40345	-2.50052	0.0886613	9.9198	-4.86941	9.85	-4.85	1.81578	1.81577	2.51947
9.95535	-4.81416	-2.44155	-2.48151	0.102313	9.95641	-4.74358	9.95	-4.75	1.81575	1.81575	0.304571
10.0308	-4.70754	-2.36011	-2.43349	0.161966	10.0029	-4.54771	10.05	-4.6	1.82039	2.7306	3.0259
10.1397	-4.57556	-2.43078	-2.40007	0.185466	10.1428	-4.45119	10.15	-4.45	1.8204	2.7306	0.950258
